axial_position_m,coolant_velocity_m_per_s,coolant_pressure_Pa,temperature_rise_K,pressure_drop_Pa,cumulative_pressure_drop_Pa
0.0,0.43349895057426185,6999546.446900133,0.39781174653983425,453.55309986705515,453.55309986705515
0.0018046355,0.43656504589127987,6999093.181272382,0.39726548001823075,453.26562775144816,906.8187276185033
0.003609271,0.4397138337634769,6998640.201080357,0.39671066605883365,452.980192024741,1359.7989196432443
0.005413906499999999,0.4429572301175824,6998187.504325951,0.3961462259394386,452.6967544051197,1812.495674048364
0.007218542,0.4462898325479781,6997735.089047119,0.3955728902698625,452.415278832427,2264.9109528807912
0.0090231775,0.4497220031043632,6997282.95331701,0.394989652917482,452.13573010932686,2717.046682990118
0.010827812999999999,0.45325369192406295,6996831.095241938,0.394396664950211,451.8580750716071,3168.9047580617253
0.012632448499999999,0.45688629947418874,6996379.512960232,0.3937939208918011,451.5822817055725,3620.4870397672976
0.014437084,0.46063359988024605,6995928.204641026,0.3931800852306689,451.3083192049955,4071.795358972293
0.016241719499999998,0.4644884297813533,6995477.16848219,0.3925561004477355,451.0361588368716,4522.831517809164
0.018046355,0.4684607263501033,6995026.402709885,0.39192106953531086,450.7657723052847,4973.597290114449
0.0198509905,0.47255525372690593,6994575.905576907,0.3912746689715382,450.49713297776844,5424.094423092217
0.021655625999999997,0.4767705407613971,6994125.675361471,0.3906172460437931,450.2302154360691,5874.3246385282855
0.0234602615,0.4811235536682209,6993675.710366496,0.389947212094852,449.9649949749113,6324.2896335031965
0.025264896999999998,0.48560963296215454,6993226.008917624,0.389265277598042,449.7014488719705,6773.991082375167
0.0270695325,0.49023710346351496,6992776.569362841,0.3885707975838849,449.43955478326404,7223.430637158431
0.028874168,0.49501612981859916,6992327.390071217,0.3878629610099308,449.17929162334894,7672.60992878178
0.030678803499999997,0.4999440809597749,6991878.469431585,0.3871422960883555,448.9206396320155,8121.530568413795
0.032483438999999996,0.5050384337444559,6991429.805852141,0.38640728114646866,448.66357944361397,8570.194147857408
0.0342880745,0.5102989694468935,6990981.397758726,0.38565823309368996,448.40809341541745,9018.602241272825
0.03609271,0.5157320354870407,6990533.243594356,0.38489481256679325,448.15416437025885,9466.756405643084
0.0378973455,0.5213561710136699,6990085.341818353,0.3841154857853574,447.9017760026358,9914.65818164572
0.039701981,0.5271666601796782,6989637.690904727,0.38332107795090337,447.6509136259673,10362.309095271687
0.041506616499999996,0.5331827223647234,6989190.28934213,0.382510052615427,447.40156259769185,10809.710657869378
0.043311251999999995,0.5394113956476593,6988743.135632297,0.38168212282371905,447.15370983279706,11256.864367702176
0.0451158875,0.5458553374457502,6988296.228289339,0.3808374521542359,446.90734295813945,11703.771710660316
0.046920523,0.5525437714203314,6987849.565839339,0.3799736660860635,446.6624499993903,12150.434160659706
0.0487251585,0.5594702342119183,6987403.146818354,0.3790918872773065,446.41902098515834,12596.853181644865
0.050529793999999996,0.5666555780447902,6986956.96977268,0.3781906439613777,446.1770456741337,13043.030227319
0.052334429499999995,0.5741163606366533,6986511.033257483,0.37726894110863474,445.9365151968093,13488.966742515808
0.054139065,0.5818557454096204,6986065.335835761,0.3763270898726776,445.69742172103514,13934.664164236843
0.0559437005,0.58990721957665,6985619.876078159,0.37536263090612076,445.45975760302343,14380.123921839866
0.057748336,0.5982729449741223,6985174.652561042,0.37437608404937367,445.22351711582803,14825.347438955694
0.059552971499999996,0.6069735183159011,6984729.663866497,0.3733663233097957,444.9886945457113,15270.336133501405
0.061357606999999995,0.6160399442275655,6984284.908581285,0.3723313776040876,444.75528521182673,15715.091418713231
0.0631622425,0.6254757059066876,6983840.385295317,0.3712718346711282,444.5232859683574,16159.61470468159
0.06496687799999999,0.6353210244217845,6983396.092601728,0.37018509532514654,444.2926935887103,16603.9073982703
0.06677151349999999,0.645591691096488,6982952.029094998,0.36907084139257074,444.0635067300895,17047.97090500039
0.068576149,0.656308499365379,6982508.193370503,0.36792840421343675,443.8357244948266,17491.80662949522
0.0703807845,0.6675243943720746,6982064.584023869,0.3667544997642204,443.6093466346173,17935.415976129836
0.07218542,0.6792458270189695,6981621.199648731,0.36554995773574467,443.3843751374625,18378.8003512673
0.0739900555,0.6915230170711255,6981178.03883705,0.3643120511785346,443.16081168105137,18821.96116294835
0.075794691,0.7043937383917017,6980735.100177252,0.3630393018305231,442.9386597985804,19264.89982274693
0.0775993265,0.7178831517941292,6980292.38225316,0.3617314309753314,442.7179240921049,19707.617746839034
0.079403962,0.7320709790249151,6979849.88364367,0.3603839934662006,442.4986094901108,20150.116356329145
0.0812085975,0.7469767334706515,6979407.602919915,0.35899762064407376,442.28072375504917,20592.397080084193
0.08301323299999999,0.7626668197884586,6978965.538645525,0.35756947915033865,442.06427438965767,21034.46135447385
0.08481786849999999,0.7792164298553426,6978523.689374806,0.3560964310970962,441.84927071923823,21476.310625193088
0.08662250399999999,0.7966661426549716,6978082.053650756,0.35457830695885323,441.6357240498197,21917.946349242906
0.0884271395,0.8151316767743386,6977640.630004885,0.3530097307884626,441.4236458716869,22359.369995114594
0.090231775,0.8346708160259898,6977199.416953927,0.3513901020910711,441.21305095784305,22800.583046072436
0.0920364105,0.8553752763566073,6976758.412999438,0.3497168068195178,441.0039544889134,23241.58700056135
0.093841046,0.8773872681819225,6976317.616626195,0.3479843394510333,440.79637324371987,23682.38337380507
0.0956456815,0.900782170513729,6975877.026298903,0.3461925182278002,440.5903272914003,24122.97370109647
0.097450317,0.9257347857397444,6975436.640462085,0.3443351672671303,440.38583681790766,24563.359537914377
