axial_position_m,coolant_density_kg_per_m3,coolant_viscosity_Pa_s,coolant_conductivity_W_per_mK,coolant_specific_heat_J_per_kgK,coolant_prandtl_number
0.0,430.7431321241441,0.00013119970864326348,0.1934137338175222,3403.0355505886187,2.3084052198750644
0.0018046355,426.6544659255319,0.00012269627443486206,0.18942251677348768,3417.803257451485,2.2138430720044524
0.003609271,422.49155375195284,0.00011505605808710161,0.18537661024552124,3433.694776990379,2.1311609117867523
0.005413906499999999,418.25063852353907,0.00010815521431623586,0.18128659523740692,3450.83618465618,2.0587618551330094
0.007218542,413.92768765611805,0.00010189103098498359,0.1771620248914062,3469.3838442321007,1.9953435110494833
0.0090231775,409.5183725901032,9.617764287045092e-05,0.1730115344012159,3489.5228816007675,1.939836477703112
0.010827812999999999,405.03761124264366,9.096432901370757e-05,0.16886090293835654,3511.3689774543745,1.8915528544241385
0.012632448499999999,400.49329248549066,8.61963555174797e-05,0.16472777057273602,3535.07692743249,1.849783716243915
0.014437084,395.8889126544137,8.182120687867438e-05,0.1606244165966041,3560.834640840712,1.8138698585326898
0.016241719499999998,391.22521700170483,7.779113448234131e-05,0.15655956455656725,3588.8607834644977,1.783228975090916
0.018046355,386.5011876629646,7.406387438801975e-05,0.15253952773575127,3619.405255948191,1.7573620438911153
0.0198509905,381.71464490915395,7.060253820488498e-05,0.14856895174166557,3652.7517626236768,1.735850881697201
0.021655625999999997,376.86259933505573,6.737515396447988e-05,0.14465129463852577,3689.2222343144736,1.7183525157328197
0.0234602615,371.9414507510063,6.435409798599527e-05,0.14078914494627415,3729.1830233610167,1.7045931331187905
0.025264896999999998,366.9471058127219,6.151553556935671e-05,0.13698445136627055,3773.0528596624868,1.6943628643884225
0.0270695325,361.87502488164455,5.883889980840611e-05,0.1332386846121286,3821.3130306088788,1.687511815349199
0.028874168,356.72024270058137,5.630643787703637e-05,0.12955297635702032,3874.520046976733,1.683947590113437
0.030678803499999997,351.477366516353,5.3902818291170426e-05,0.12592824603325284,3933.3214789155404,1.6836342888692064
0.032483438999999996,346.1405513894172,5.161479047204832e-05,0.1223653248346259,3998.475895437648,1.6865929611143418
0.0342880745,340.7034780597651,4.943089911447751e-05,0.11886510493622358,4070.87775516875,1.6929034617105203
0.03609271,335.15931116949093,4.734123519877568e-05,0.11542871171251085,4151.588875522303,1.7027076061823505
0.0378973455,329.50065838529684,4.533722719639435e-05,0.11205773146136548,4241.87792463449,1.7162134258877864
0.039701981,323.7195354673297,4.3411469471493414e-05,0.10875452368826283,4343.269815704406,1.73370006705532
0.041506616499999996,317.80732018978716,4.1557579864477976e-05,0.10552265026935398,4457.607694800428,1.7555225092273878
0.043311251999999995,311.75473742423037,3.977009952294624e-05,0.10236751805633822,4587.129772356391,1.7821142002376404
0.0451158875,305.55186284876663,3.804442696486686e-05,0.09929736062848411,4734.564792919686,1.8139838091828722
0.046920523,299.18817472760173,3.637678876613956e-05,0.09632485915103349,4903.249867475128,1.8516973320155725
0.0487251585,292.6527047424392,3.476424586414206e-05,0.0934701353237967,5097.27307675393,1.8958232366208114
0.050529793999999996,285.93428666047913,3.3204710811475424e-05,0.0907673630124354,5321.639826445287,1.946773659776115
0.052334429499999995,279.02201728512057,3.169697172207084e-05,0.08828566868315682,5582.443409766162,2.0042499936705664
0.054139065,271.9060011943178,3.0240699022438117e-05,0.08634703227466406,5886.983660756624,2.061755874465515
0.0559437005,264.5785208079398,2.8836428348116427e-05,0.08349066914939413,6243.702727004271,2.156481534385982
0.057748336,257.0358508710388,2.7485533572112937e-05,0.08096594405715901,6661.690377860012,2.2614460519157418
0.059552971499999996,249.2808119618748,2.6190188006126677e-05,0.0786281136801972,7149.39839158779,2.3813885294000388
0.061357606999999995,241.32600955112974,2.4953297312275754e-05,0.07646502703234838,7712.211700635846,2.5167729479748244
0.0631622425,233.1970927093134,2.377830108310077e-05,0.07448077257886253,8348.889413668094,2.665418192024136
0.06496687799999999,224.93466911768257,2.2668690282502115e-05,0.07267722482509416,9047.633913209527,2.8220396618280432
0.06677151349999999,216.59362069571466,2.162726319548664e-05,0.07104536096992142,9782.86849674648,2.9780504863019326
0.068576149,208.23996525047082,2.0655591345102698e-05,0.06955918454166325,10512.767283698558,3.121764959567343
0.0703807845,199.94693613584022,1.975434228128866e-05,0.06817321013125134,11177.996070720032,3.239013682570886
0.07218542,191.78993663009447,1.8923990962443185e-05,0.06682757065348033,11708.489941767251,3.315568045870917
0.0739900555,183.8379240154326,1.8164289736126263e-05,0.06546240836872097,12044.870925638093,3.3421704269602386
0.075794691,176.14461661082552,1.7472547891550408e-05,0.06403166959690204,12158.88142636718,3.3178369292460523
0.0775993265,168.74670386131248,1.6843180002297187e-05,0.06250572776234259,12051.267089101926,3.2474089672113666
0.079403962,161.66742464330386,1.626948775693493e-05,0.060870499446302934,11739.79695992507,3.1378169169926786
0.0812085975,154.9189513555475,1.5745714243595392e-05,0.05913217341430167,11257.88183742584,2.997748605624516
0.08301323299999999,148.50352698645528,1.5267661314466866e-05,0.05731943167402391,10654.95430991838,2.838064317352167
0.08481786849999999,142.41621979194457,1.483218411248184e-05,0.055475454279712184,9986.549428134209,2.6700518578836827
0.08662250399999999,136.6484662226711,1.4436574716439227e-05,0.05364560502679811,9301.031871628938,2.503001718177622
0.0884271395,131.1903635770069,1.4078284492616029e-05,0.05186906357949751,8632.941703369288,2.3431502502821826
0.090231775,126.03147797334934,1.3754898001826786e-05,0.05017595059771904,8003.446100603503,2.194010944795612
