axial_position_m,methane_density_kg_per_m3,methane_viscosity_Pa_s,methane_conductivity_W_per_mK,methane_specific_heat_J_per_kgK,methane_prandtl_number,methane_speed_of_sound_m_per_s
0.0,430.66795317969877,0.00013267831270868843,0.19334080297286785,3403.629596694715,2.335708888300114,1415.4837567900404
0.0018046355,422.54453277774024,0.00011719640304378145,0.18541379015433623,3433.794152708259,2.1704336185307502,1361.233264472107
0.003609271,414.26651953219925,0.0001043519810846049,0.17745707861174254,3468.1691634900694,2.0394245514350406,1306.5882032170286
0.005413906499999999,405.82042291751964,9.349053709703918e-05,0.16954405905358363,3507.6943262919044,1.9342242268343028,1251.6443658032372
0.007218542,397.1900358306785,8.418414623802555e-05,0.16172922961863279,3553.5782091771903,1.84972715405285,1196.4569749228167
0.0090231775,388.35647563925585,7.61331194690156e-05,0.15405258916304101,3607.2996986397984,1.7827352361240014,1141.0574721515845
0.010827812999999999,379.29803521495927,6.911542159510115e-05,0.14654299369302615,3670.670103146824,1.731231943077191,1085.4656504611858
0.012632448499999999,369.9897770844092,6.295916274710807e-05,0.13922071988503104,3745.9478634661077,1.6940132285833844,1029.69898120873
0.014437084,360.40303784652804,5.7526857694827736e-05,0.13209967078934978,3836.013305424742,1.6705097765802017,973.7812740869939
0.016241719499999998,350.5048693787212,5.270586155933355e-05,0.12518953180387218,3944.627345912574,1.660721785608586,917.750905151995
0.018046355,340.25729406307414,4.840213107280421e-05,0.11849816755985983,4076.8203354764537,1.6652307483010194,861.6673710159731
0.0198509905,329.6166176275141,4.4536034155875565e-05,0.11203502498236198,4239.482223796469,1.6852740930967949,805.617367994026
0.021655625999999997,318.53269255139526,4.10394370119091e-05,0.10581653615822795,4442.266065334296,1.7228696477630112,749.722142367836
0.0234602615,306.9484643381286,3.7853814604587945e-05,0.09987608170638834,4698.958401685491,1.7809419145514616,694.1556885468848
0.025264896999999998,294.8006188373691,3.492919084935749e-05,0.09428555604375084,5029.520037293033,1.863244728405244,639.1896278213007
0.0270695325,282.02265255931263,3.2223508978052846e-05,0.08922013097292528,5463.017851506526,1.973070459162449,585.2748410199888
0.028874168,268.55328143332065,2.9702189833669053e-05,0.08487247797167284,6041.093020962646,2.1141563908546868,533.1503309270331
0.030678803499999997,254.35524135232316,2.7338393189722126e-05,0.08003224333524554,6818.22284486033,2.329052007290776,483.9435350377112
0.032483438999999996,239.45576821843744,2.5116032800793743e-05,0.07588318097501301,7845.158264171839,2.59661297482033,439.2032917773153
0.0342880745,223.9742586256522,2.3030799692885714e-05,0.0723639215064575,9118.207616974521,2.9019932697531514,400.6055318000168
0.03609271,208.14830938197105,2.109235869406265e-05,0.0694162164346535,10500.592164341471,3.190641435187572,369.35283645321476
0.0378973455,192.3193081183047,1.932158055135305e-05,0.06678580577789203,11651.51170293514,3.370860309179903,345.82648768816426
0.039701981,176.89435162025822,1.7743111059900005e-05,0.06406179933490522,12124.840485332223,3.358200886461876,330.05664619077174
0.041506616499999996,162.27431995612332,1.6378200228235272e-05,0.06093253717643829,11740.493231024015,3.155754836847778,321.22134765598827
0.043311251999999995,148.7392657754679,1.523454448206898e-05,0.05733450724933152,10648.2661774951,2.829386568763981,317.5030918647736
0.0451158875,136.43056319387964,1.4301868319461914e-05,0.053541687741572086,9249.333890890228,2.4706497110948984,317.3635713484793
0.046920523,125.3901586209214,1.3559566869909603e-05,0.049937867630075065,7906.5757846693505,2.1468626545772853,319.7834401782715
0.0487251585,115.58383409581967,1.2982709389815858e-05,0.04677393641815397,6773.839969755452,1.8801666593603523,324.05274166201974
0.050529793999999996,106.92804900457111,1.2545542960239834e-05,0.04415081890579459,5873.028499416268,1.6688327232016409,329.6670447269332
0.052334429499999995,99.31286424728917,1.2223923898854052e-05,0.04206842487923346,5174.458115000863,1.5035548014254738,336.25031233232784
0.054139065,92.61828386290642,1.199661463202383e-05,0.040474055693690635,4636.404036422678,1.3742421299280179,343.5067353872354
0.0559437005,86.72576275105077,1.1845720247520773e-05,0.039296561441472234,4220.789088217612,1.2723323601043535,351.1996411212361
0.057748336,81.52543402154365,1.1756585402711062e-05,0.03846513469932481,3897.372393424139,1.1912031960273777,359.1422620395484
0.059552971499999996,1233.789641675692,1.1717400554049527e-05,0.03791736618526041,3643.4431572772833,1.1259137214631827,367.19116275900495
0.061357606999999995,1168.066254551317,1.1718646420225626e-05,0.0376011623972139,3442.263766022993,1.0728038546533516,375.2393587500485
0.0631622425,1109.3653485591028,1.1752837259955668e-05,0.03747510267040388,3281.6294431904626,1.029175480385169,383.20913918700455
0.06496687799999999,1056.7068706252692,1.1813880895764944e-05,0.037505980398779934,3152.5135689963563,0.9929995011573497,391.0456658988308
0.06677151349999999,1009.2659975108737,1.189684556710877e-05,0.03766752308448539,3048.2077209446006,0.9627406726799893,398.7114375100671
0.068576149,966.3488160317218,1.1997710348032542e-05,0.037938905280283645,2963.6721980583957,0.9372247389884553,406.1819353034696
0.0703807845,927.370852966944,1.211317412461522e-05,0.03830352161018261,2895.077614957639,0.9155445186255402,413.44221963600523
0.07218542,891.8387713190233,1.2240508593147951e-05,0.0387480120573772,2839.480318209817,0.896992681422077,420.4843181500283
0.0739900555,859.3342972618724,1.237744739156688e-05,0.03926151499144996,2794.58990278195,0.8810126025503673,427.30540511695773
0.075794691,829.501667583897,1.2522097880176123e-05,0.039835089181276796,2758.60347088072,0.8671626795603617,433.90631246671813
0.0775993265,802.0368561976658,1.2672873472705001e-05,0.040461279446975716,2730.0849364539085,0.8550896423025567,440.29050353716514
