axial_position_m,gas_density_kg_per_m3,gas_viscosity_Pa_s,gas_conductivity_W_per_mK,gas_specific_heat_J_per_kgK,gas_prandtl_number
0.2364072505,4.591928332488952,3.997793864869669e-05,0.07744116496256073,2873.38898775367,1.4833476319963983
0.23821188599999998,4.608820380172306,3.987531439048161e-05,0.07721401442922585,2873.38898775367,1.483892400878166
0.2400165215,4.625810923760521,3.977273475633261e-05,0.07698704611237402,2873.38898775367,1.4844385365153696
0.24182115699999998,4.642899963253593,3.967020453075825e-05,0.07676027066778734,2873.38898775367,1.4849860200981788
0.2436257925,4.660087498651527,3.956772842817182e-05,0.0765336985811112,2873.38898775367,1.485534832939548
0.24543042799999998,4.677373529954318,3.946531109322164e-05,0.07630734016880712,2873.38898775367,1.486084956475669
0.2472350635,4.69475805716197,3.936295710113408e-05,0.07608120557913477,2873.38898775367,1.4866363722663958
0.24903969899999998,4.71224108027448,3.926067095806916e-05,0.07585530479316259,2873.38898775367,1.487189061995632
0.2508443345,4.72982259929185,3.9158457101488076e-05,0.07562964762580561,2873.38898775367,1.4877430074716917
0.25264897,4.747502614214079,3.9056319900532307e-05,0.07540424372688945,2873.38898775367,1.4882981906276254
0.2544536055,4.765281125041167,3.8954263656413806e-05,0.07517910258223935,2873.38898775367,1.4888545935215176
0.256258241,4.7831581317731136,3.8852292602815926e-05,0.07495423351479331,2873.38898775367,1.489412198336753
0.2580628765,4.801133634409919,3.875041090630461e-05,0.07472964568573805,2873.38898775367,1.4899709873822573
0.25986751199999997,4.819207632951586,3.864862266674939e-05,0.074505348095667,2873.38898775367,1.4905309430927018
0.2616721475,4.837380127398111,3.8546931917753896e-05,0.07428134958575915,2873.38898775367,1.4910920480286873
0.263476783,4.855651117749495,3.844534262709537e-05,0.07405765883897772,2873.38898775367,1.4916542848768979
0.2652814185,4.874020604005738,3.8343858697172825e-05,0.07383428438128795,2873.38898775367,1.4922176364502238
0.26708605399999996,4.89248858616684,3.824248396546345e-05,0.07361123458289252,2873.38898775367,1.4927820856878646
0.2688906895,4.911055064232801,3.814122220498698e-05,0.07338851765948437,2873.38898775367,1.493347615655402
0.270695325,4.929720038203623,3.8040077124777425e-05,0.07316614167351525,2873.38898775367,1.4939142095448459
0.27249996049999997,4.9484835080793035,3.793905237036208e-05,0.07294411453547966,2873.38898775367,1.494481850674662
0.274304596,4.967345473859842,3.7838151524247196e-05,0.07272244400521305,2873.38898775367,1.4950505224897674
0.2761092315,4.986305935545242,3.7737378106410115e-05,0.07250113769320324,2873.38898775367,1.4956202085615085
0.277913867,5.005364893135499,3.763673557479751e-05,0.07228020306191467,2873.38898775367,1.496190892587612
0.27971850249999997,5.024522346630615,3.7536227325829264e-05,0.07205964742712422,2873.38898775367,1.4967625583921145
0.281523138,5.043778296030592,3.743585669490785e-05,0.07183947795926791,2873.38898775367,1.4973351899252705
0.2833277735,5.063132741335428,3.73356269569327e-05,0.07161970168479785,2873.38898775367,1.4979087712634374
0.285132409,5.082585682545122,3.7235541326819414e-05,0.07140032548754836,2873.38898775367,1.4984832866089406
0.28693704449999996,5.102137119659676,3.7135602960023256e-05,0.07118135611011073,2873.38898775367,1.4990587202899166
0.28874168,5.121787052679089,3.7035814953066985e-05,0.0709628001552158,2873.38898775367,1.4996350567601378
0.2905463155,5.141535481603361,3.693618034407235e-05,0.07074466408712372,2873.38898775367,1.5002122805988163
0.29235095099999997,5.161382406432493,3.6836702113295215e-05,0.07052695423301983,2873.38898775367,1.5007903765103892
0.2941555865,5.181327827166483,3.673738318366388e-05,0.07030967678441659,2873.38898775367,1.5013693293242831
0.295960222,5.201371743805333,3.66382264213205e-05,0.0700928377985603,2873.38898775367,1.501949123994666
0.2977648575,5.221514156349043,3.6539234636165e-05,0.06987644319984226,2873.38898775367,1.5025297456001736
0.29956949299999996,5.24175506479761,3.644041058240167e-05,0.06966049878121365,2873.38898775367,1.5031111793436258
0.3013741285,5.262094469151038,3.634175695908775e-05,0.0694450102056035,2873.38898775367,1.5036934105517217
0.303178764,5.282532369409325,3.624327641068404e-05,0.06922998300733922,2873.38898775367,1.5042764246747202
0.3049833995,5.30306876557247,3.61449715276072e-05,0.06901542259356909,2873.38898775367,1.5048602072861044
0.30678803499999996,5.323703657640475,3.604684484678341e-05,0.06880133424568584,2873.38898775367,1.5054447440822312
0.3085926705,5.34443704561334,3.59488988522033e-05,0.06858772312075136,2873.38898775367,1.5060300208819637
0.310397306,5.365268929491063,3.585113597547796e-05,0.0683745942529215,2873.38898775367,1.5066160236262933
0.31220194149999997,5.386199309273646,3.5753558596395466e-05,0.06816195255487055,2873.38898775367,1.5072027383779427
0.314006577,5.407228184961089,3.565616904347817e-05,0.06794980281921502,2873.38898775367,1.507790151320958
0.3158112125,5.42835555655339,3.555896959454028e-05,0.06773814971993616,2873.38898775367,1.5083782487602897
0.317615848,5.44958142405055,3.546196247724552e-05,0.06752699781380068,2873.38898775367,1.5089670171213558
0.31942048349999996,5.470905787452569,3.536514986966479e-05,0.06731635154177934,2873.38898775367,1.5095564429495956
0.321225119,5.492328646759449,3.526853390083355e-05,0.06710621523046278,2873.38898775367,1.510146512910012
0.3230297545,5.5138500019711865,3.5172116651308785e-05,0.06689659309347444,2873.38898775367,1.5107372137866995
