axial_position_m,methane_density_kg_per_m3,methane_viscosity_Pa_s,methane_conductivity_W_per_mK,methane_specific_heat_J_per_kgK,methane_prandtl_number,methane_speed_of_sound_m_per_s
0.052334429499999995,279.7791667743445,3.185753568391402e-05,0.08853936322855563,5552.281321992305,1.9977780943137768,575.9670761357955
0.054139065,272.89233287005356,3.043696845331477e-05,0.0865098268672506,5842.433521563871,2.055557977931251,549.1129657943659
0.0559437005,265.8272650311022,2.906917014111481e-05,0.08393912760202862,6179.627425901041,2.1400822975419542,522.9590277190434
0.057748336,258.5828309618885,2.775507215679933e-05,0.0814617020347279,6571.5767824859595,2.2390225495667697,497.6806291421377
0.059552971499999996,251.16231071445887,2.649608324862081e-05,0.079173731580713,7025.589793585375,2.351166331622618,473.4791921668674
0.061357606999999995,243.57496969632533,2.5293944600835864e-05,0.07705364232644238,7546.8567522627045,2.477362144588324,450.57536767552494
0.0631622425,235.83755395839427,2.4150534211509292e-05,0.07510143717341873,8135.932003870198,2.616289535821624,429.19460809941756
0.06496687799999999,227.97522334908442,2.3067564698932256e-05,0.07331760706701979,8785.821169644316,2.764240492447607,409.54356117291655
0.06677151349999999,220.02163619196375,2.2046188118789696e-05,0.07169555069124334,9479.341041477031,2.914871757419823,391.7811156028483
0.068576149,212.01780910235397,2.1086650550396997e-05,0.07021644521369504,10186.87216665061,3.0592123102499484,375.9965436363214
0.0703807845,204.01034593743597,2.018841980742074e-05,0.06884569569484854,10864.007108343076,3.1857784873898,362.215241714712
0.07218542,196.0497779192719,1.935092095876629e-05,0.06753307361633347,11451.735592261151,3.2813793067599977,350.43512152116955
0.0739900555,188.188880524346,1.8574044773193896e-05,0.0662203908150134,11886.92359748281,3.3341429791912973,340.65402330429055
0.075794691,180.480164290473,1.7857356537664967e-05,0.06485502344134103,12122.778113284285,3.3379183216504074,332.8417329492629
0.0775993265,172.97166329420773,1.71985563031971e-05,0.06339842756623087,12140.589004471902,3.293466597878259,326.8806485492911
0.079403962,165.7028876389941,1.659327725676528e-05,0.06182604792254489,11943.447082883182,3.2054600853035993,322.5546514797896
0.0812085975,158.7035727949286,1.603674249055025e-05,0.060129723876159925,11550.353428231336,3.08050713794862,319.60552490434776
0.08301323299999999,151.99490557270764,1.5525390086246506e-05,0.05832501628310639,10999.437589677531,2.927912758397801,317.7964544950367
0.08481786849999999,145.59138869133858,1.505704527708184e-05,0.056451153583978016,10345.318947662698,2.759375600165247,316.9365702816067
0.08662250399999999,139.5018140987268,1.4630117829033406e-05,0.05455941960688961,9645.13704065265,2.586345170066727,316.87467081684485
0.0884271395,133.72965330750986,1.4242923142616403e-05,0.05269956328407816,8945.158812852935,2.4175761909673055,317.4870681322588
0.090231775,128.27365636737548,1.3893516234518277e-05,0.05091219484243978,8276.246181790633,2.2585190256171597,318.67031782810596
0.0920364105,123.1285315158976,1.3579790998207779e-05,0.049226911024706714,7655.900522520981,2.111965322112633,320.337692480396
0.093841046,118.28581900837985,1.3299602482281235e-05,0.04766314158305628,7092.135522513914,1.9789418000392909,322.4165165263777
0.0956456815,113.7347038856877,1.3050823604683204e-05,0.0462317593477293,6586.814227809463,1.8594003736131024,324.84541068272944
0.097450317,109.46261089048821,1.2831354309341333e-05,0.0449367933529813,6138.044068107904,1.7526710814806756,327.57175525101076
0.0992549525,105.45583542025604,1.2639130020689655e-05,0.04377713954397186,5741.842072648131,1.6577576623427215,330.5495828634974
0.10105958799999999,101.6999752455892,1.2472128779731323e-05,0.042748071792511354,5393.242025087479,1.5735261558378306,333.7381218700028
0.10286422349999999,98.18031471831448,1.2328385284234922e-05,0.04184251708453721,5087.005136345644,1.4988237714534411,337.1008503964317
0.10466885899999999,94.88221392995817,1.2206008990534347e-05,0.04105207341987984,4818.049359176213,1.432550146577109,340.6048423972858
0.1064734945,91.7912792710052,1.2103194103927177e-05,0.04036772731568499,4581.668744165478,1.3736920510009663,344.22048563710456
0.10827813,88.89362707657601,1.201823211600298e-05,0.03978038825994876,4373.638973834446,1.3213397525348125,347.92117250252886
0.1100827655,86.18818978432704,1.1949799073397603e-05,0.03928334335261923,4191.037214202231,1.2748928259312595,351.6655506460033
0.111887401,83.6500619226629,1.1896006890963741e-05,0.038865609384185255,4029.722845010564,1.2334197634483997,355.44774919840995
0.1136920365,81.26748402296765,1.18554586604436e-05,0.038519407886595386,3886.9122004494598,1.1963093265833533,359.2491731726144
0.115496672,79.02946312853798,1.1826859511244958e-05,0.03823758636465276,3760.210205857117,1.163030464666868,363.05353861920486
0.1173013075,76.9258012059699,1.1809013211964885e-05,0.03801362698801164,3647.5619717300665,1.1331228017049078,366.8466203485872
