axial_position_m,gas_temperature_K,gas_side_wall_temp_K,coolant_side_wall_temp_K,coolant_temperature_K,dT_wg_dx_K_per_m,local_mach_number
0.0,3396.603396603397,1153.0790357358967,110.00137852276667,113.45893931133467,3915.503444769555,0.1
0.0025700000000000002,3396.603396603397,1163.1418795889545,113.46026270075939,116.88224850167965,4025.3734564587066,0.1
0.0051400000000000005,3396.603396603397,1173.7694553020945,116.88352137786221,120.2682453343312,4251.172136437235,0.1
0.007710000000000001,3396.603396603397,1184.9929043702418,120.26947136161392,123.61516509602188,4489.458579467435,0.1
0.010280000000000001,3396.603396603397,1196.845272400557,123.61634721930426,126.92115045183841,4741.802534820279,0.1
0.01285,3396.603396603397,1209.365769399218,126.92229105259797,130.18424165109795,5008.635363887646,0.1
0.015420000000000001,3396.603396603397,1222.5896581709394,130.18534267505567,133.4023923753396,5291.019079561986,0.1
0.017990000000000003,3396.603396603397,1236.5616074681666,133.40345540780726,136.57346278177212,5591.870068286662,0.1
0.020560000000000002,3396.603396603397,1251.331870321933,136.57448910887385,139.69522307611862,5912.171238472511,0.1
0.02313,3396.603396603397,1266.9501676339153,139.69621374006067,142.76537081943013,6253.155869985756,0.1
0.0257,3396.603396603397,1283.4730914936597,142.76632665234484,145.7815356090548,6617.421306578995,0.1
0.028270000000000003,3396.603396603397,1300.9637131497313,145.78245726090066,148.74128639390102,7007.412759926141,0.1
0.030840000000000003,3396.603396603397,1319.49119307968,148.74217435604965,151.64214136074543,7425.94429654273,0.1
0.03341,3396.603396603397,1339.133066833961,151.64299598375268,154.4815756099902,7876.145192507072,0.1
0.035980000000000005,3396.603396603397,1359.9745793691663,154.48239712051486,157.2570322524987,8360.988657941256,0.1
0.03855,3396.603396603397,1382.1085485357792,157.25782076939564,159.96593594809917,8884.20478785073,0.1
0.041120000000000004,3396.603396603397,1405.6393919787192,159.9666914959215,162.60570182573906,9450.742630288063,0.1
0.04369000000000001,3396.603396603397,1430.6853656554597,162.6064243358407,165.17374351994894,10065.738646258658,0.1
0.04626,3396.603396603397,1457.3772886204888,165.1744328561691,167.6674864306083,10734.30622923898,0.1
0.048830000000000005,3396.603396603397,1485.8596996737483,167.66814239344512,170.08438190030142,11462.875809792837,0.1
0.0514,3396.603396603397,1516.296470282824,170.0850042386474,172.4219153332535,12259.131179320219,0.1
0.053970000000000004,3396.603396603397,1548.8716339354544,172.42250375612372,174.67761638304918,13131.539295049151,0.1
0.05654000000000001,3396.603396603397,1583.7925822593766,174.6781705716557,176.84906732116224,14091.266381574853,0.1
0.05911,3396.603396603397,1621.3007431367491,176.84958693608613,178.93389874594814,15148.622818922042,0.1
0.061680000000000006,3396.603396603397,1661.6565035486358,178.93438345066895,180.9298104346715,16315.583357786934,0.1
0.06425,3396.603396603397,1705.162841595774,180.93025979581327,182.8345593096004,17610.23373793403,0.1
0.06682,3396.603396603397,1752.1731049616167,182.83497325702893,184.6459399385493,19048.008397842,0.1
0.06939000000000001,3396.603396603397,1803.0696047606818,184.64631810201104,186.36179541892906,20649.92157177633,0.1
0.07196000000000001,3396.603396603397,1858.3137018405473,186.36213760972015,187.97996192718597,22439.163422798447,0.1
0.07453000000000001,3396.603396603397,1918.4069047538662,187.98026804042183,189.49826552054952,23483.04609001038,0.1
0.0771,3317.0731707317077,1979.0165587432002,189.49853452986022,190.90783292478312,25505.01672132878,0.5
0.07967,3300.1698616840567,2049.5026907014962,190.90806612224745,192.21233910637585,28736.068763749965,0.55
0.08224000000000001,3281.8532818532817,2126.719952188875,192.21253760324817,193.4094402972337,31279.730896896217,0.6000000000000001
0.08481000000000001,3262.1731830175104,2210.280507511543,193.40960508372112,194.49789377912003,19760.192970715114,0.6500000000000001
0.08738000000000001,3241.1820781696856,2228.2873440583508,194.49805038824303,195.54978486384343,-1775.806791046518,0.7000000000000002
0.08995,3218.934911242604,2201.152860605564,195.54994915629462,196.61123824573582,-16129.713325849792,0.75
0.09252,3195.488721804511,2145.3806175634827,196.61142081517258,197.70965986277335,-27199.13550867996,0.8
0.09509000000000001,3170.902308230357,2061.349304090949,197.70987284316863,198.87120503318272,-36660.217216463585,0.8500000000000001
0.09766000000000001,3145.235892691952,1956.9471010708594,198.87145987667688,200.11348944566646,-39318.64541952009,0.9000000000000001
0.10023000000000001,3118.550791102958,1859.2514666346156,200.11378686266073,201.4260577889264,-36390.80368668737,0.9500000000000002
0.1028,3090.9090909090905,1769.8983701212865,201.42639687609764,202.79654376819326,-33317.593562855385,1.0
0.10537,3062.373339337987,1687.999035721539,202.79692320045808,204.21357953502906,-30572.789849943772,1.05
0.10794000000000001,3033.006244424621,1612.7542302925754,204.21399768176215,205.6670386619816,-28121.426649411558,1.1
0.11051000000000001,3002.8703908147495,1543.4549027435635,205.66749370964627,207.14829590648102,-25291.67942018289,1.1500000000000001
0.11308000000000001,2972.027972027972,1482.7549980728352,207.14878364569006,208.64722309316846,-21706.010030470556,1.2000000000000002
0.11565000000000002,2940.5405405405404,1431.8860111869449,208.64773774819074,210.15410902038062,-18179.97230753163,1.2500000000000004
0.11822,2908.46877673225,1389.3099404121228,210.15464546132088,211.66267351024266,-15267.380060818046,1.3
0.12079000000000001,2875.8722774370904,1353.4116776743406,211.66322771953938,213.17007197791227,-12815.437451414851,1.35
0.12336000000000001,2842.809364548495,1323.4385919118504,213.1706405823557,214.6758241845729,-10712.766698916152,1.4000000000000001
0.12593000000000001,2809.3369138607723,1298.3480568419116,214.67640484171648,216.18178817908392,-8903.834031579434,1.4500000000000002
