,max_wall_temp_K,max_coolant_temp_K,coolant_T_in_K,coolant_T_out_K,coolant_total_temp_rise_K,final_pressure_drop_Pa,max_hc_W_per_m2K
pre_mdot_1.56,813.2723553846457,629.1828814474701,113.18469172195584,629.1828814474701,515.9981897255143,76086.99883013897,6947.54776147896
post_mdot_3.12,793.2433700918384,344.44747047029153,111.59416086822604,344.44747047029153,232.8533096020655,78867.98004421822,20085.83325482239
