axial_position_m,pre_gas_wall_K,pre_coolant_K,post_gas_wall_K,post_coolant_K
0.088427,520.6368923876887,212.10625524262065,505.31811156117476,179.21521044197868
0.090232,527.9869301210455,213.3281922035818,512.7863124640049,180.25938140861103
0.092036,535.677887982183,214.64242751601677,520.5509316459026,181.282912522386
0.093841,543.7522757118571,216.0543324436816,528.6538122318873,182.28647018531228
0.095646,552.212131761259,217.56554814272388,537.0963929530582,183.26901447013736
0.09745,561.0891204901155,219.1758981580266,545.9116010288296,184.2295625888041
0.099255,570.4147894604416,220.88654408442628,555.1325486549032,185.16872805594483
0.10106,580.2001270650134,222.69480043269735,564.7724481963648,186.08553209417133
0.102864,590.4913548104308,224.59663287140336,574.8814363765698,186.97906166864624
0.104669,601.3071356697008,226.5903863334567,585.4810991950819,187.84990234423557
0.106473,612.6833505026889,228.66935147624224,596.6121484038493,188.69670285601742
0.108278,623.3007110337804,230.82050990194278,606.9381967735817,189.51633834469385
0.110083,635.7286555712443,233.04555178636522,619.0761910471946,190.3115216385051
0.111887,648.8362433082426,235.33720604097454,631.8803041525263,191.0815623773595
0.113692,662.6676475248345,237.69182743657726,645.3992450983186,191.82710036379152
0.115497,677.2732139847102,240.10185492039977,659.6890900211506,192.5475281790081
0.117301,692.7257895168518,242.55945572349492,674.8290065617896,193.24236101573928
0.119106,709.090019657837,245.060899868012,690.8883752897902,193.9123300133653
0.120911,726.4634694186806,247.59833967907713,707.9713721299479,194.55705981063213
0.122715,744.91374903142,250.16385142753472,726.1511828711278,195.17632510281624
0.12452,764.5591407612778,252.7538279646744,745.5514033808608,195.77098997419142
0.126324,785.5323339459812,255.358913468202,766.311711524723,196.34064268366745
0.128129,805.3193967599055,257.9794210424556,785.852883179088,196.8870642087915
0.129934,813.2722669758383,260.62746245916196,793.2431717881256,197.41420167920128
0.131738,812.6186215309883,263.31133037195065,791.7770246653624,197.92473403693168
0.133543,808.7657282377273,266.03635864267915,786.9894023157494,198.42045046591556
0.135348,801.8391602421118,268.80359298514753,778.9952027965686,198.90222156274436
0.137152,792.0192437016725,271.61400192642543,767.9632797689176,199.3709016925684
0.138957,779.4832735893924,274.473239445136,754.0552331115754,199.82807288181388
0.140762,764.4244039602391,277.3822627330021,737.4476193949663,200.27450636062719
0.142566,747.078944511266,280.34175704975246,718.3588866154481,200.71098514698278
0.144371,727.7550799408517,283.35703463256124,697.0777439305197,201.13898793957205
0.146175,706.7252868974099,286.4265269938115,673.8557108258157,201.55905719138588
0.14798,686.3598293022379,289.5514171194047,651.1525885493514,201.97222007556707
0.149785,667.6984598071648,292.72596973609717,630.0647823327718,202.378716005852
0.151589,650.5955434608685,295.9444512382631,610.4499456088106,202.77900830893864
0.153394,634.8953613963605,299.20663444370507,592.1518591071558,203.17441290616773
0.155199,620.4870964141162,302.5071099749954,575.0637260116127,203.56574117162472
0.157003,607.2694819524937,305.8405009166489,559.0889076439626,203.9539493144263
0.158808,595.1314889167595,309.2071401013508,544.1167042530822,204.34073675687154
0.160613,583.9943421828359,312.60197094075676,530.0735243853093,204.72722864947033
0.162417,573.78510726919,316.0200022577507,516.8920711884997,205.114603923503
0.164222,564.4221520876521,319.46208985947993,504.4915710358141,205.50473541194333
0.166026,555.8519722412958,322.92162316353796,492.82623913929586,205.89868842800595
0.167831,548.0066970723002,326.39977119383593,481.8293132348024,206.298463054475
0.169636,540.9466430405242,329.8918923121492,471.58241024311866,206.70545369501122
0.17144,534.8255310164611,333.39305283622,462.27805516268967,207.12104703093874
0.173245,529.5952598135997,336.9042637295325,453.8786645383079,207.54735961314879
0.17505,525.1854813996333,340.4209057379917,446.32411637117303,207.9858411191283
0.176854,521.4684916095057,343.9386434671536,439.4857466229344,208.43790624166434
0.178659,518.3643999593817,347.45919526065654,433.2834071500357,208.90568695629207
0.180464,515.8103571895548,350.97861104600656,427.6591392953493,209.39050122083572
0.182268,513.7506468755774,354.49311078245955,422.5619125877959,209.8935334198643
0.184073,512.1339446337772,358.0049091673114,417.93994653852934,210.41672247654066
0.185877,510.91910229289374,361.5085751986598,413.75818459242356,210.96076134509406
0.187682,510.06708858067253,365.00658231810803,409.9769424265376,211.5274151917705
0.189487,509.54573926307023,368.49568871665815,406.5682344274267,212.1174563944833
0.191291,509.32592661878795,371.97278476254667,403.50687264972004,212.73148539545517
0.193096,509.38659213179113,375.4406305597983,400.77211703533425,213.37101944585527
0.194901,509.7031533838744,378.89629174635627,398.34269762295145,214.03646187555864
0.196705,510.2511584830442,382.3369610325652,396.1966831560776,214.72803113692711
0.19851,511.0135495503852,385.7656216266127,394.3159405607688,215.44700183889233
0.200315,511.974504610914,389.1796011659814,392.687983321703,216.19339622276647
0.202119,513.1194399130202,392.5763329396214,391.3013123732865,216.96705213675992
0.203924,514.4374330514966,395.95894603009634,390.1438337891586,217.76901078853928
0.205728,515.9161530293645,399.32311599000315,389.2074712324368,218.59845601352748
0.207533,517.5476998929738,402.67205031461066,388.4830920977666,219.45627464832688
0.209338,519.3229896714128,406.0033940323455,387.9643714172411,220.34190405618136
0.211142,521.2336349644579,409.3148826988448,387.64546002175535,221.25461747121295
0.212947,523.2754426732404,412.6097909170999,387.52096336742693,222.1951346266929
0.214752,525.4421281865419,415.88590920820826,387.5871387824686,223.16259930896737
0.216556,527.7279071226963,419.1411137037708,387.8405343176261,224.15600844043595
0.218361,530.1874113117032,422.3814152808524,388.34066186890846,225.17672371440494
0.220166,532.6726757206909,425.60489709750146,388.903305593621,226.2237892268081
0.22197,535.1489063063472,428.80976542542396,389.483622238589,227.2961594770461
0.223775,537.6186835610794,431.9995552253787,390.0820658368397,228.3945567413875
0.225579,540.0791226007486,435.1707320764485,390.69775295602494,229.5172560997814
0.227384,542.5328171261167,438.3268266480293,391.3311195737305,230.6649602311061
0.229189,544.9782745221786,441.46609285799525,391.9815719738843,231.8365000597317
0.230993,547.4140361366235,444.58684082606425,392.6484516820313,233.03061988499715
0.232798,549.842701062405,447.69257227743765,393.33220113141147,234.2480427326496
0.234603,552.2628224088443,450.78159698123574,394.03215073613444,235.4875059063759
0.236407,554.672986890404,453.8522796738525,394.74757367545647,236.74767339050527
0.238212,557.0757916512532,456.9080860370654,395.4789353187434,238.02931296331923
0.240017,559.4698315626457,459.94737697060407,396.22550767174755,239.33109681746274
0.241821,561.8537327294782,462.96856333041285,396.98651582050456,240.65164028108265
0.243626,564.2300849057622,465.97507047734763,397.76245893256026,241.99177134031467
0.24543,566.5962117345131,468.9636533186009,398.5521243209998,243.3493638483898
0.247235,568.954700792594,471.93771806786145,399.35602976819877,244.72528117644848
0.24904,571.3042034650244,474.89569159174056,400.17338969553856,246.11814743528024
0.250844,573.6434015173231,477.8360486430668,401.0033808346898,247.52654525241002
0.252649,575.9748677418154,480.7621492239793,401.846566888414,248.95141401357736
0.254454,578.2972843771548,483.67245686892664,402.7021399267235,250.39136778657073
0.256258,580.6093637123679,486.5654819985922,403.5692590065501,251.8449868140499
0.258063,582.9136602964419,489.44453613676075,404.4485369624892,253.31328935944302
0.259868,585.2088854454355,492.30811776152945,405.33915039060923,254.79488962492886
0.261672,587.4937783363533,495.1547680900218,406.2402493200604,256.28837729072507
0.263477,589.7708729827295,497.9877494690848,407.15249629226065,257.7948485191969
0.265281,592.0376538388921,500.80403615865663,408.07454445641383,259.3120817406781
0.267086,594.2966455415019,503.6068664280736,409.0070832062418,260.8412168976232
0.268891,596.5465986720322,506.3947838687544,409.94928135846357,262.3808916348367
0.270695,598.7862915348826,509.1663741271205,410.9002858784557,263.92972644452743
0.2725,601.0182248510419,511.9248248526233,411.8608353344426,265.4889351605555
0.274305,603.2411720191558,514.668706756388,412.83009709470895,267.0571734647679
0.276109,605.4539337170988,517.3966315449982,413.8072196561078,268.63308422369744
0.277914,607.6589853411263,520.1117361499698,414.7929886985657,270.21795023964034
0.279719,609.8551223877093,522.8126179099263,415.7865722736284,271.8104475167049
