axial_position_m,coolant_velocity_m_per_s,coolant_pressure_Pa,temperature_rise_K,pressure_drop_Pa,cumulative_pressure_drop_Pa
0.057748336,2.772072092705709,6985535.573175929,1.3389692405424987,425.6224266519432,14464.42682407106
0.059552971499999996,2.8288834180629205,6985110.648059085,1.3266076966298663,424.92511684363404,14889.351940914696
0.061357606999999995,2.8882743862060365,6984686.416098,1.3138947708030826,424.23196108526884,15313.583901999964
0.0631622425,2.9503246257339057,6984262.873457538,1.3008226048287947,423.5426404619572,15737.126542461921
0.06496687799999999,3.015291653408867,6983840.016604784,1.2873805823638247,422.85685275417455,16159.983395216095
0.06677151349999999,3.0833244321743662,6983417.842291709,1.2735596360761705,422.17431307460345,16582.1577082907
0.068576149,3.1546016031463826,6982996.347539384,1.259351203466307,421.4947523251652,17003.652460615864
0.0703807845,3.2294639862594057,6982575.529623116,1.2447436784865686,420.817916267744,17424.470376883608
0.07218542,3.308037122314796,6982155.386056519,1.2297292407708122,420.1435665976258,17844.613943481232
0.0739900555,3.390666912706442,6981735.914578063,1.214297790219937,419.47147845551444,18264.085421936747
0.075794691,3.4776498563059475,6981317.1131367525,1.1984397506388096,418.8014413112584,18682.886863248004
0.0775993265,3.5692308262270567,6980898.979878266,1.1821476232697588,418.1332584863444,19101.02012173435
0.079403962,3.6659379504411547,6980481.51313232,1.165410168250007,417.46674594655303,19518.486867680902
0.0812085975,3.7680142933374103,6980064.711397775,1.1482207446645536,416.80173454403223,19935.288602224933
0.08301323299999999,3.8759520711123803,6979648.573329978,1.1305714911141955,416.13806779733034,20351.426670022265
0.08481786849999999,3.9903073245530694,6979233.0977268135,1.1124540452392737,415.47560316441934,20766.902273186686
0.08662250399999999,4.111478916472358,6978818.283513573,1.0938639829986356,414.8142132402202,21181.716486426907
0.0884271395,4.240273846698044,6978404.129728944,1.074793668221663,414.15378462899866,21595.870271055905
0.090231775,4.377226324180282,6977990.635507549,1.0552401789204913,413.49422139473006,22009.364492450633
0.0920364105,4.523073092942841,6977577.80006341,1.0352019000808808,412.8354441388675,22422.199936589503
0.093841046,4.678850906053797,6977165.6226719925,1.0146758344444573,412.177391417668,22834.37732800717
0.0956456815,4.845279067879019,6976754.102648689,0.9936655609039697,411.52002330305805,23245.89735131023
0.097450317,5.023648679676072,6976343.239328425,0.9721731739046119,410.8633202637758,23656.760671574004
0.0992549525,5.215152354872189,6975933.032040852,0.9502048507872835,410.20728757336667,24066.967959147372
0.10105958799999999,5.421019663754902,6975523.480084298,0.9277721548994933,409.55195655396403,24476.519915701338
0.10286422349999999,5.643262787152404,6975114.5826991135,0.9048845656296586,408.897385184575,24885.417300885914
0.10466885899999999,5.883331000646855,6974706.33903476,0.8815618391382423,408.24366435346985,25293.660965239385
0.1064734945,6.143609901491245,6974298.748118863,0.8578244152643477,407.5909158971532,25701.251881136537
0.10827813,6.426632213289639,6973891.808821024,0.8295701950368476,406.93929783895396,26108.191178975492
0.1100827655,6.734584538360402,6973485.516554593,0.805001404982804,406.2922664313094,26514.4834454068
0.111887401,7.071767346317201,6973079.869501933,0.7800827338294374,405.6470526600675,26920.13049806687
0.1136920365,7.441802373332144,6972674.865514565,0.7548837213803308,405.00398736819113,27325.13448543506
0.115496672,7.849500825117588,6972270.502082181,0.7294719776407563,404.3634323836747,27729.497917818735
0.1173013075,8.301078623498126,6971866.776292989,0.7039144736581068,403.7257891919693,28133.223707010704
0.11910594299999999,8.802975849129162,6971463.684785269,0.678287719465464,403.09150772026106,28536.315214730967
0.12091057849999999,9.364412679513988,6971061.223698796,0.6526687763226583,402.46108647381993,28938.776301204787
0.12271521399999999,9.995701878331545,6970659.38861868,0.6271429531030993,401.8350801159937,29340.61138132078
0.12451984949999999,10.709964817225487,6970258.17451992,0.6018001257018969,401.21409876038746,29741.82548008117
0.126324485,11.525305437671856,6969857.57571191,0.5767268671940843,400.59880800978317,30142.42428809095
0.1281291205,12.365079026316911,6969457.585778244,0.5523445122045076,399.9899336655657,30542.414221756517
0.12993375599999998,12.81249638427423,6969058.197888791,0.5301768730981469,399.38788945362023,30941.802111210138
0.1317383915,12.942170346925185,6968659.406434539,0.5105561763803995,398.79145425142144,31340.59356546156
0.13354302699999998,12.950980064702234,6968261.207532244,0.4929695135460805,398.19890229487373,31738.792467756433
0.1353476625,12.843628338044255,6967863.598572872,0.4770990473799393,397.60895937169147,32136.401427128123
0.137152298,12.629592515968913,6967466.577925874,0.46273975786977317,397.02064699732324,32533.422074125447
0.1389569335,12.321010760564265,6967070.144729759,0.4497567020701303,396.4331961154442,32929.85527024089
0.140761569,11.931140465404804,6966674.298731449,0.43806265404714134,395.8459983091324,33325.70126855002
0.1425662045,11.474697480421286,6966279.0401529,0.42760254696838906,395.2585785487995,33720.95984709882
0.14437084,10.969093467706207,6965884.3695656825,0.4183395724135933,394.67058721790033,34115.63043431672
0.14617547549999999,10.427460794502688,6965490.287751503,0.4102659991339554,394.08181417923254,34509.712248495955
