axial_position_m,coolant_side_htc_with_fins_W_per_m2K,coolant_side_htc_without_fins_W_per_m2K,fin_coefficient_eta,coolant_side_wall_temp_K,gas_side_wall_temp_K,enhancement_factor
0.0,4141.149067941819,4141.218530567262,0.9999832265250119,110.00410029358068,314.15641562075103,0.9999832265250119
0.0018046355,4196.627680186892,4196.695764297282,0.9999837767343133,111.59818413276352,316.3915873050982,0.9999837767343133
0.003609271,4251.351802359206,4251.418569742457,0.9999842952694128,113.18682292643409,318.6614237533506,0.9999842952694128
0.005413906499999999,4305.476138378781,4305.541646760831,0.9999847851008248,114.76989638330133,320.97118307659684,0.9999847851008248
0.007218542,4359.020279298279,4359.0845826685745,0.9999852484233613,116.34727731371275,323.3171631622797,0.9999852484233613
0.0090231775,4412.12519177811,4412.188340960131,0.9999856875597456,117.91883791648806,325.7042634685012,0.9999856875597456
0.010827812999999999,4464.84959968679,4464.911642399077,0.9999861043807231,119.48444250108557,328.1316563088628,0.9999861043807231
0.012632448499999999,4517.262205889988,4517.323187003347,0.9999865006086935,121.04395158305947,330.5992922314644,0.9999865006086935
0.014437084,4569.528700603286,4569.588662545467,0.9999868780438221,122.59722086663398,333.1137080278824,0.9999868780438221
0.016241719499999998,4621.64811562504,4621.707098228946,0.9999872379182297,124.1440959888129,335.6701718581234,0.9999872379182297
0.018046355,4673.754119009398,4673.812159953764,0.9999875816694423,125.68442102227202,338.27306039566,0.9999875816694423
0.0198509905,4725.938673657724,4725.995808536558,0.9999879105100494,127.21803127282463,340.9239197113268,0.9999879105100494
0.021655625999999997,4778.243048902256,4778.299311277993,0.9999882254392051,128.74475542109198,343.62098278551105,0.9999882254392051
0.0234602615,4830.855634172551,4830.911055956708,0.9999885276744872,130.26441788984548,346.37207568016754,0.9999885276744872
0.025264896999999998,4883.790907447505,4883.845518720527,0.9999888179769787,131.77683155845932,349.1736536130811,0.9999888179769787
0.0270695325,4937.167027531813,4937.220856823577,0.9999890972485684,133.28180636365002,352.02889326270446,0.9999890972485684
0.028874168,4991.116747488207,4991.169821890851,0.9999893663400489,134.77914412499604,354.94181025471556,0.9999893663400489
0.030678803499999997,5045.669349388131,5045.721694491674,0.9999896258440889,136.26863798267087,357.90979755337196,0.9999896258440889
0.032483438999999996,5101.016188664649,5101.067828869048,0.9999898765893473,137.75007727503748,360.9404270255894,0.9999898765893473
0.0342880745,5157.205684604049,5157.256642990425,0.9999901190904577,139.2232399845771,364.0321739563318,0.9999901190904577
0.03609271,5214.339277383161,5214.389575856714,0.9999903539095379,140.68789951989135,367.1867853744637,0.9999903539095379
0.0378973455,5272.617200875607,5272.666860343837,0.9999905817170807,142.1438222020589,370.4119678277923,0.9999905817170807
0.039701981,5332.0518214039075,5332.100861603397,0.9999908028372376,143.5907630095677,373.703732795851,0.9999908028372376
0.041506616499999996,5392.8495902074355,5392.898029981436,0.9999910178583516,145.02847407676427,377.06985793209645,0.9999910178583516
0.043311251999999995,5455.118932409793,5455.166789637313,0.9999912271742799,146.45669614585768,380.51194230619814,0.9999912271742799
0.0451158875,5518.933579935505,5518.980871541342,0.9999914310980709,147.87516313037173,384.02936577878154,0.9999914310980709
0.046920523,5584.583094331917,5584.629836532714,0.9999916302060897,149.2836035916819,387.63420650573755,0.9999916302060897
0.0487251585,5652.069456347946,5652.115664406432,0.9999918246438625,150.68173184961995,391.3211363488023,0.9999918246438625
0.050529793999999996,5721.616973737875,5721.662662200399,0.9999920148276434,152.0692603308119,395.09781807775653,0.9999920148276434
0.052334429499999995,5793.416750730359,5793.46193341397,0.9999922010907933,153.44589038316033,398.9695936987021,0.9999922010907933
0.054139065,5867.553673426237,5867.598363357644,0.9999923836076295,154.8113140790903,402.93530890954094,0.9999923836076295
0.0559437005,5944.359623025545,5944.40383266088,0.9999925628142738,156.165218676039,407.00776593839794,0.9999925628142738
0.057748336,6023.916294680636,6023.960035683663,0.9999927388291477,157.50727718198164,411.18488065385645,0.9999927388291477
0.059552971499999996,6106.457222280232,6106.500505696439,0.9999929119114676,158.83715866093277,415.4728955919939,0.9999929119114676
0.061357606999999995,6192.303112581067,6192.345948873155,0.9999930823806612,160.15452258112532,419.8824084064777,0.9999930823806612
0.0631622425,6281.557296302795,6281.599695230617,0.9999932502977141,161.45901620598886,424.41118436326315,0.9999932502977141
0.06496687799999999,6374.623295257062,6374.665266042623,0.9999934160016549,162.75028323093284,429.0731847328742,0.9999934160016549
0.06677151349999999,6471.713614256144,6471.75516548035,0.9999935796050463,164.02795333149234,433.87094019135355,0.9999935796050463
0.068576149,6573.087421390019,6573.128561009432,0.9999937412422363,165.29164998797708,438.8088419077097,0.9999937412422363
0.0703807845,6679.268706991694,6679.309442458709,0.9999939012457252,166.540989404882,443.90473266248716,0.9999939012457252
0.07218542,6790.417184396186,6790.457522482266,0.9999940595923108,167.77557246798975,449.15562977924213,0.9999940595923108
0.0739900555,6907.052735150941,6907.092682069568,0.9999942165364698,168.9949983417046,454.5768374628515,0.9999942165364698
0.075794691,7029.606441219309,7029.646002573721,0.9999943722124276,170.19885342851893,460.17746471968866,0.9999943722124276
0.0775993265,7158.4215123111235,7158.460693061731,0.9999945266514286,171.38671599473457,465.960605096359,0.9999945266514286
0.079403962,7294.291238637286,7294.330043165643,0.9999946801792452,172.55816035325577,471.9510277849923,0.9999946801792452
0.0812085975,7437.545285481111,7437.583717480166,0.9999948327305593,173.71274482109442,478.14753486986865,0.9999948327305593
0.08301323299999999,7588.906995153298,7588.945057664671,0.9999949844792545,174.85002823336637,484.56704598723945,0.9999949844792545
