axial_position_m,gas_temperature_K,gas_side_wall_temp_K,coolant_side_wall_temp_K,coolant_temperature_K,dT_wg_dx_K_per_m,local_mach_number
0.0,3396.603396603397,1248.4004927544645,110.00120780455505,113.2662143321904,172.78479525440773,0
0.0025700000000000002,3396.603396603397,1248.8445496782683,113.26739110831325,116.51812425461868,173.42367769323755,0
0.0051400000000000005,3396.603396603397,1249.2918904578078,116.51927341375391,119.75498344809803,174.66660328718717,0
0.007710000000000001,3396.603396603397,1249.7423360191644,119.75610780660867,122.97597992456114,175.83765228118864,0
0.010280000000000001,3396.603396603397,1250.195695990533,122.97708183994351,126.18022176229124,176.93177065561758,0
0.01285,3396.603396603397,1250.6517653203343,126.18130323206925,129.3667283638241,177.94270269293338,0
0.015420000000000001,3396.603396603397,1251.1103214823747,129.36779109818,132.5344251223302,178.86320170675754,0
0.017990000000000003,3396.603396603397,1251.571122177107,132.53547059797654,135.68214012622667,179.68513613706455,0
0.020560000000000002,3396.603396603397,1252.0339030821192,135.6831696266945,138.80860202853285,180.3995164455846,0
0.02313,3396.603396603397,1252.4983756916374,138.80961667449228,141.91243854081833,180.996449392871,0
0.0257,3396.603396603397,1252.9642248319985,141.91343931299048,144.99217523955554,181.46499138567015,0
0.028270000000000003,3396.603396603397,1253.4311057473599,144.99316299604334,148.04623453096832,181.79294812161243,0
0.030840000000000003,3396.603396603397,1253.8986405853436,148.04721002032042,151.07293473460828,181.96639342210256,0
0.03341,3396.603396603397,1254.3664130095494,151.07389860556512,154.07048933471384,181.96890337823424,0
0.035980000000000005,3396.603396603397,1254.8339607487078,154.07144214331925,157.03700651991,181.78037811486865,0
0.03855,3396.603396603397,1255.3007641530598,157.03794873447688,159.97048920090663,181.37590641572024,0
0.041120000000000004,3396.603396603397,1255.7662329076845,159.9714212051797,162.86883576107243,180.7276751396712,0
0.04369000000000001,3396.603396603397,1256.2297044032778,162.86975785582095,165.72984185449914,179.81942861061543,0
0.04626,3396.603396603397,1256.690504770743,165.73075425766166,168.55120359061578,178.6886518546089,0
0.048830000000000005,3396.603396603397,1257.1481640738104,168.55210643590448,171.33052245251162,29394.19885517031,0
0.0514,3396.603396603397,1407.776686886318,171.33158257006238,173.82114042648786,29690.231890665775,0
0.053970000000000004,3396.603396603397,1409.755955991832,173.8221921636823,176.27047008151538,781.5256651684758,0
0.05654000000000001,3396.603396603397,1411.793728805284,176.27151334540284,178.67657672617648,805.1147901216173,0
0.05911,3396.603396603397,1413.894246013057,178.67761132655218,181.03751196060315,830.385464465362,0
0.061680000000000006,3396.603396603397,1416.0619100926358,181.038537596062,183.35133385949604,857.4393183107022,0
0.06425,3396.603396603397,1418.301484109174,183.3523500937407,185.61613195984944,886.4279863226111,0
0.06682,3396.603396603397,1420.618149942334,185.6171381761291,187.83005780686017,917.5182093217154,0
0.06939000000000001,3396.603396603397,1423.0175277050876,187.8310530948518,189.99136148913533,950.8828515257919,0
0.07196000000000001,3396.603396603397,1425.5056877991765,189.99234409562052,192.09843457551096,986.6976013107924,0
0.07453000000000001,3396.603396603397,1428.089153375825,192.09940645102776,194.14986031655832,-3431.0307581481175,0
0.0771,3317.0731707317077,1407.8701897022954,194.15079813419771,196.15867667588705,-4337.321208564157,0
0.07967,3300.1698616840567,1405.795322363805,196.15959836773797,198.11191759365224,-864.8131689163856,0
0.08224000000000001,3281.8532818532817,1403.4250500140652,198.1128222919491,200.0091105729571,-975.7093795910478,0
0.08481000000000001,3262.1731830175104,1400.7801761527073,200.00999756325226,201.85028228338382,-1078.3341330820112,0
0.08738000000000001,3241.1820781696856,1397.8824125700237,201.85115102301486,203.63610023973303,-1172.382400078117,0
0.08995,3218.934911242604,1394.7541306163055,203.6369504066867,205.368025496796,-1257.6567692671088,0
0.09252,3195.488721804511,1391.418056775991,205.36885705089088,207.04845310772507,-1334.087211967737,0
0.09509000000000001,3170.902308230357,1387.8969223467914,207.04926635131713,208.68080798765683,-1401.744392847817,0
0.09766000000000001,3145.235892691952,1384.2130905967533,208.6816036123332,210.26956490918988,-1460.841794773005,0
0.10023000000000001,3118.550791102958,1380.388195521658,210.27034401643024,211.8201765829136,-1511.7242389555904,0
0.1028,3090.9090909090905,1376.4428280085215,211.82094067265294,213.33891925732695,-1554.8447539841873,0
0.10537,3062.373339337987,1372.3962934861793,213.33967018718772,214.83268937598845,-1590.7360757444985,0
0.10794000000000001,3033.006244424621,1368.2664445791947,214.83342930152477,216.3087949627854,-1619.9845702777966,0
0.11051000000000001,3002.8703908147495,1364.0695727949515,216.3095262715236,217.77477676520957,-1643.2119624074548,0
0.11308000000000001,2972.027972027972,1359.8203350924205,217.77550201381194,219.23827288671794,-1661.0652752600145,0
0.11565000000000002,2940.5405405405404,1355.531697280115,219.23899474402546,220.70691899419413,-1674.2108097008895,0
0.11822,2908.46877673225,1351.2148915305577,220.70764018742767,222.18826469520798,-1683.3262116028927,0
0.12079000000000001,2875.8722774370904,1346.8794005524762,222.18898795504558,223.68968834510952,-1689.0863685715303,0
0.12336000000000001,2842.809364548495,1342.5329875961,223.69041634755862,225.21830249976992,-1692.1429162238492,0
0.12593000000000001,2809.3369138607723,1338.1817859630855,225.21903780628304,226.7808525125194,-1545.6691897093551,0
0.1285,2775.5102040816328,1334.5882479609938,226.78159606941435,228.38281650711227,-1006.7193443632859,0
0.13107000000000002,2741.3827857286838,1333.0072485330581,228.38356625326676,230.02765577537065,-236.2574484309589,0
0.13364,2707.0063694267515,1333.3738846760587,230.0284087987372,231.71797778424872,473.91060033565736,0
