axial_position_m,coolant_density_kg_per_m3,coolant_viscosity_Pa_s,coolant_conductivity_W_per_mK,coolant_specific_heat_J_per_kgK,coolant_prandtl_number
0.0,26.998714651752852,0.00013759389619601557,0.19636547383381794,54220.37225870967,37.99238291038818
0.0025700000000000002,26.730556183856052,0.0001283338372608676,0.1921258086518303,54437.70615736038,36.36263015300555
0.0051400000000000005,26.460308325864826,0.00012007356686179667,0.1878691533535515,54668.94922874964,34.94078518642743
0.007710000000000001,26.18782454290647,0.0001126436106872157,0.18360911189993515,54915.395657521825,33.6904219249834
0.010280000000000001,25.912955255603954,0.00010591506605129924,0.1793573006233501,55178.71433999251,32.584439850703404
0.01285,25.635547476390894,9.978774077127537e-05,0.17512364219031765,55460.852341988044,31.602318723144215
0.015420000000000001,25.355444486957733,9.41821544619058e-05,0.17091661274136416,55763.9806531035,30.728270090566053
0.017990000000000003,25.072485355592132,8.903404591826645e-05,0.1667434477766193,56090.46894687516,29.949970774764278
0.020560000000000002,24.786504366834937,8.429054082226205e-05,0.16261031525073258,56442.88046781489,29.257682164028488
0.02313,24.497330413262006,7.99074371477662e-05,0.158522462748209,56823.98125919645,28.643629629747128
0.0257,24.204786385819357,7.584725391918328e-05,0.15448434439523961,57236.76001258978,28.101559981245764
0.028270000000000003,23.908688592023253,7.207780826159793e-05,0.1504997322786697,57684.45621022997,27.626422395867458
0.030840000000000003,23.608846228584152,6.85711625986191e-05,0.146571816547119,58170.59516977949,27.21413593562916
0.03341,23.305060935382283,6.530283424920827e-05,0.14270329803943416,58699.029230867025,26.86141826514397
0.035980000000000005,22.997126460442146,6.225119317885564e-05,0.13889647722018753,59273.98472862774,26.565657730634292
0.03855,22.684828470185614,5.939699624400731e-05,0.13515334343017066,59900.11461931597,26.324815892529976
0.041120000000000004,22.36794454569054,5.672302169843458e-05,0.1314756690581761,60582.556649923696,26.1373507358209
0.04369000000000001,22.046244414255366,5.421377841913519e-05,0.12786511436353765,61326.99673988205,26.002152572391484
0.04626,21.719490477186742,5.185527182101015e-05,0.12432335062559617,62139.73665126957,25.91848529438006
0.048830000000000005,21.38743871108244,4.963481377979409e-05,0.12085221265052241,63027.763887273155,25.88592508891984
0.0514,21.049840043560568,4.754086772097115e-05,0.11745389762861093,63998.81986537338,25.904286626047483
0.053970000000000004,20.73757861518222,4.573636614513283e-05,0.11442695240485089,64961.89874628435,25.965221690350223
0.05654000000000001,20.420649770397826,4.402237194721832e-05,0.11146849253642037,66006.773165709,26.06812609748984
0.05911,20.098894233116393,4.23920371943359e-05,0.10858235807809306,67140.76366064243,26.212672120373757
0.061680000000000006,19.772160774357335,4.083908632069618e-05,0.10577404786831446,68371.689260939,26.39813239534481
0.06425,19.440310317950452,3.9357781684355675e-05,0.10305182158096973,69707.79407862469,26.62295628504614
0.06682,19.103221094834023,3.794289602331153e-05,0.10042912934768664,71157.62118393394,26.883895532948657
0.06939000000000001,18.760795004921096,3.658968941362712e-05,0.09793191373971662,72729.81823434611,27.17358783957916
0.07196000000000001,18.412965310216332,3.529388842874222e-05,0.09564532056153235,74432.85096956238,27.46631745421214
0.07453000000000001,18.059705732822543,3.4051665826558415e-05,0.0931685108357786,76274.58186662123,27.877193157682754
0.0771,17.701040985513416,3.285962029865688e-05,0.09070644029951949,78261.63737172018,28.3513241120931
0.07967,17.334412346267158,3.170665834315023e-05,0.08833974599337113,80414.40696871189,28.86211748690459
0.08224000000000001,16.961988521297183,3.0597254994447004e-05,0.08606510499713797,82723.44745864422,29.409252634921508
0.08481000000000001,16.58396187537021,2.9529204423974948e-05,0.0838790816882784,85184.4744635003,29.988761316316246
0.08738000000000001,16.200638503192184,2.850070000776176e-05,0.08178150496510415,87784.11994917027,30.592599991700215
0.08995,15.812457503568666,2.7510339200765616e-05,0.07977296177814111,90496.19983266774,31.208332977541993
0.09252,15.420008845914513,2.6557126865547354e-05,0.0778537182083659,93278.04794972384,31.818608156151416
0.09509000000000001,15.024046432006093,2.5640466646460302e-05,0.07602300809022416,96068.1266458817,32.401133011315316
0.09766000000000001,14.625492097593643,2.4760129898086262e-05,0.07427849247075657,98786.37375154402,32.92963231869716
0.10023000000000001,14.225426733657127,2.3916196174271268e-05,0.0726159075643891,101338.3385201259,33.37598696088721
0.1028,13.825066884104478,2.3108967339823067e-05,0.07102897451832747,103622.9813848904,33.71328544044581
0.10537,13.425728590537696,2.2338865697445687e-05,0.06950962200385702,105542.53069481828,33.91905106935063
0.10794000000000001,13.028783452998251,2.1606331285046158e-05,0.06804850800863109,107011.92003790314,33.977747102031095
0.11051000000000001,12.635613296693334,2.091173268307802e-05,0.06663576192548643,107965.7294778171,33.88196380643616
0.11308000000000001,12.24756890303928,2.025530021207379e-05,0.06526183524457421,108361.95037134236,33.63227264620729
0.11565000000000002,11.8659357495381,1.9637083210793106e-05,0.06391835087014093,108183.24198380105,33.23620362429703
0.11822,11.491907059308424,1.9056927264491277e-05,0.062598852802069,107436.7397246433,32.70689545925571
0.12079000000000001,11.126562860188656,1.851446481700031e-05,0.06129936149786659,106152.89703217671,32.061738153557975
0.12336000000000001,10.770853575035776,1.8009113785425214e-05,0.060018648144496034,104383.09063321764,31.321047951000196
0.12593000000000001,10.425587498235426,1.7540081943631413e-05,0.05875817856965765,102195.57609718916,30.506711110799525
0.1285,10.09142250394898,1.710637747284999e-05,0.057521744632370815,99669.90979379149,29.64080993221489
0.13107000000000002,9.7690161618636,1.6707012177849557e-05,0.056315443499102204,96892.00098223583,28.744794318670902
