axial_position_m,coolant_velocity_m_per_s,coolant_density_kg_per_m3,flow_area_m2,velocity_gradient_m_per_s2,acceleration_m_per_s2,speeds_of_sound,mach_number
0.0,31.180266069332397,26.998714651752852,0.0004989147971371984,121.71110739651101,670.0708581660389,276.17651734225524,0.112899772831489
0.0025700000000000002,31.49306361534143,26.730556183856052,0.0004989147971371984,123.43318950199773,1025.2008237297778,280.11301917126224,0.1124298460261372
0.0051400000000000005,31.814712663372667,26.460308325864826,0.0004989147971371984,126.98063963048207,1421.9695542104637,283.97711928775834,0.11203266214956682
0.007710000000000001,32.145744103042105,26.18782454290647,0.0004989147971371984,130.7421130106395,1508.2894107584689,287.7707841339901,0.11170607259448061
0.010280000000000001,32.48672712424735,25.912955255603954,0.0004989147971371984,134.7332472017806,1600.99380505937,291.49573342863283,0.11144837950844692
0.01285,32.83827299365926,25.635547476390894,0.0004989147971371984,138.97122116864466,1700.7225320759353,295.1534501140422,0.11125830641983388
0.015420000000000001,33.201039201054186,25.355444486957733,0.0004989147971371984,143.47496101665092,1808.2074805815246,298.7451924871444,0.11113497400458719
0.017990000000000003,33.575734293284846,25.072485355592132,0.0004989147971371984,148.2654076188337,1924.2858285729599,302.2720068965224,0.11107788193161704
0.020560000000000002,33.963123396214996,24.786504366834937,0.0004989147971371984,153.36579017551594,2049.904346827647,305.7347400857102,0.11108689639487393
0.02313,34.364034454786996,24.497330413262006,0.0004989147971371984,158.8019159615278,2186.1272586633677,309.1340507026319,0.11116224297090811
0.0257,34.77936524425725,24.204786385819357,0.0004989147971371984,164.60248428504565,2334.146942457872,312.470419772497,0.11130450450183207
0.028270000000000003,35.21009122401213,23.908688592023253,0.0004989147971371984,170.7994312457613,2495.297016751603,315.7441601068465,0.11151462377672222
0.030840000000000003,35.65727432086046,23.608846228584152,0.0004989147971371984,177.4283109511489,2671.067504881845,318.955424733698,0.11179391085958611
0.03341,36.122072742301036,23.305060935382283,0.0004989147971371984,184.528718220854,2863.121858553015,322.10421450815744,0.11214405498375193
0.035980000000000005,36.60575193251565,22.997126460442146,0.0004989147971371984,192.1447573041114,3073.3156288532045,325.19038511647364,0.1125671409977406
0.03855,37.10969679484417,22.684828470185614,0.0004989147971371984,200.32556055315945,3303.7164844614963,328.2136537317311,0.11306567040375527
0.041120000000000004,37.635425313758894,22.36794454569054,0.0004989147971371984,209.1258600342435,3556.625030014642,331.17360562668443,0.1136425870731481
0.04369000000000001,38.18460371542018,22.046244414255366,0.0004989147971371984,218.60661320743475,3834.5953687556466,334.0697011091091,0.1143013077469988
0.04626,38.75906330564511,21.719490477186742,0.0004989147971371984,228.83568022964755,4140.453434668132,336.90128322897834,0.11504575742236672
0.048830000000000005,39.360819111800566,21.38743871108244,0.0004989147971371984,239.88854386162893,2166.842397686196,339.66758682646054,0.11588040966626112
0.0514,39.99209042109388,21.049840043560568,0.0004989147971371984,239.97325015375463,-30.732937292268616,342.12752400832625,0.11689235040943564
0.053970000000000004,40.594281617590866,20.73757861518222,0.0004989147971371984,239.73057656394667,2138.777919264132,344.52955282444776,0.11782525268093723
0.05654000000000001,41.22430558463257,20.420649770397826,0.0004989147971371984,250.9665686587723,4536.900126778317,346.87299791150457,0.11884553087971943
0.05911,41.88424978049696,20.098894233116393,0.0004989147971371984,263.0502432155872,4881.009201914079,349.15715993323147,0.11995815806414048
0.061680000000000006,42.576383834760684,19.772160774357335,0.0004989147971371984,276.0549559566107,5254.578254904009,351.381334223531,0.12116859857921693
0.06425,43.30317225411394,19.440310317950452,0.0004989147971371984,290.0587754457938,5659.315475623043,353.5448335155498,0.12248283145172692
0.06682,44.06728594055206,19.103221094834023,0.0004989147971371984,305.1438375013131,6096.59766707784,355.6470151503702,0.12390736900159302
0.06939000000000001,44.87161157887069,18.760795004921096,0.0004989147971371984,321.3952874545739,6567.290908135044,357.68731302359174,0.12544926796414255
0.07196000000000001,45.719257718068576,18.412965310216332,0.0004989147971371984,338.8997127691273,7071.528414088352,359.66527457383495,0.12711612977438821
0.07453000000000001,46.613556102504006,18.059705732822543,0.0004989147971371984,357.74294350298806,7889.017161216994,361.5806035486375,0.12891608577735517
0.0771,47.558056447673934,17.701040985513416,0.0004989147971371984,379.4492609777826,8832.760858977534,363.44636144101923,0.13085302672755397
0.07967,48.56392530392981,17.334412346267158,0.0004989147971371984,403.1433343181325,9357.640925051499,365.2513622422981,0.13296028522876194
0.08224000000000001,49.63021318606914,16.961988521297183,0.0004989147971371984,427.54753533254734,9849.438653065634,366.99606914634046,0.13523363697467558
0.08481000000000001,50.7615196355391,16.58396187537021,0.0004989147971371984,453.7694489948899,10564.391020762167,368.68136275135333,0.13768398613025026
0.08738000000000001,51.96258815390287,16.200638503192184,0.0004989147971371984,481.848505179265,11287.192835730297,370.30866144438966,0.1403223677005628
0.08995,53.23822095216051,15.812457503568666,0.0004989147971371984,511.78562017054355,12000.94647704078,371.8800496663186,0.1431596586047846
0.09252,54.59316624157946,15.420008845914513,0.0004989147971371984,543.5333700712545,12685.533945033661,373.39839318303655,0.1462062163047884
0.09509000000000001,56.03198247432676,15.024046432006093,0.0004989147971371984,576.9892646480166,13319.303876934631,374.86741292224576,0.14947146789189916
0.09766000000000001,57.55889106187027,14.625492097593643,0.0004989147971371984,611.9945919986985,13881.466589300384,376.29169061669535,0.1529634921449857
0.10023000000000001,59.177634677200075,14.225426733657127,0.0004989147971371984,648.3400029170207,14354.490271235962,377.67659359945685,0.15668864758921397
